id,date,product_name,category_name,supplier_name,quantity,customer_name,employee_name,shipper_name
163,1996-09-18,"Outback Lager",Beverages,"Pavlova, Ltd.",5,"Ana Trujillo Emparedados y helados","Robert King","Federal Shipping"
162,1996-09-18,Gudbrandsdalsost,"Dairy Products","Norske Meierier",1,"Ana Trujillo Emparedados y helados","Robert King","Federal Shipping"
314,1996-11-27,"Queso Cabrales","Dairy Products","Cooperativa de Quesos Las Cabras",24,"Antonio Moreno Taqueria","Janet Leverling","United Package"
286,1996-11-15,"Ravioli Angelo",Grains/Cereals,"Pasta Buttini s.r.l.",25,"Around the Horn","Michael Suyama","Speedy Express"
360,1996-12-16,"Gnocchi di nonna Alice",Grains/Cereals,"Pasta Buttini s.r.l.",20,"Around the Horn","Laura Callahan","Federal Shipping"
285,1996-11-15,"Guarana Fantastica",Beverages,"Refrescos Americanas LTDA",25,"Around the Horn","Michael Suyama","Speedy Express"
358,1996-12-16,Konbu,Seafood,Mayumis,20,"Around the Horn","Laura Callahan","Federal Shipping"
359,1996-12-16,"Valkoinen suklaa",Confections,"Karkki Oy",15,"Around the Horn","Laura Callahan","Federal Shipping"
362,1996-12-16,"Camembert Pierrot","Dairy Products","Gai paturage",15,"Berglunds snabbkop","Janet Leverling","Federal Shipping"
361,1996-12-16,"Sir Rodneys Marmalade",Confections,"Specialty Biscuits, Ltd.",28,"Berglunds snabbkop","Janet Leverling","Federal Shipping"
84,1996-08-14,"Guarana Fantastica",Beverages,"Refrescos Americanas LTDA",12,"Berglunds snabbkop","Andrew Fuller","Speedy Express"
80,1996-08-12,"Raclette Courdavault","Dairy Products","Gai paturage",15,"Berglunds snabbkop","Laura Callahan","United Package"
86,1996-08-14,"Rhonbrau Klosterbier",Beverages,"Plutzer Lebensmittelgrossmarkte AG",30,"Berglunds snabbkop","Andrew Fuller","Speedy Express"
81,1996-08-12,Vegie-spread,Condiments,"Pavlova, Ltd.",8,"Berglunds snabbkop","Laura Callahan","United Package"
82,1996-08-12,"Rod Kaviar",Seafood,"Svensk Sjofoda AB",25,"Berglunds snabbkop","Laura Callahan","United Package"
85,1996-08-14,"Pate chinois",Meat/Poultry,"Ma Maison",20,"Berglunds snabbkop","Andrew Fuller","Speedy Express"
79,1996-08-12,"Gula Malacca",Condiments,"Leka Trading",16,"Berglunds snabbkop","Laura Callahan","United Package"
301,1996-11-22,"Cote de Blaye",Beverages,"Aux joyeux ecclesiastiques",10,"Blondel pere et fils","Margaret Peacock","Federal Shipping"
50,1996-07-25,"Alice Mutton",Meat/Poultry,"Pavlova, Ltd.",30,"Blondel pere et fils","Andrew Fuller","Speedy Express"
51,1996-07-25,"Outback Lager",Beverages,"Pavlova, Ltd.",20,"Blondel pere et fils","Andrew Fuller","Speedy Express"
498,1997-02-05,"Gnocchi di nonna Alice",Grains/Cereals,"Pasta Buttini s.r.l.",40,"Blondel pere et fils","Janet Leverling","United Package"
133,1996-09-04,"Chartreuse verte",Beverages,"Aux joyeux ecclesiastiques",60,"Blondel pere et fils","Steven Buchanan","United Package"
500,1997-02-05,"Rhonbrau Klosterbier",Beverages,"Plutzer Lebensmittelgrossmarkte AG",24,"Blondel pere et fils","Janet Leverling","United Package"
499,1997-02-05,"Wimmers gute Semmelknodel",Grains/Cereals,"Plutzer Lebensmittelgrossmarkte AG",30,"Blondel pere et fils","Janet Leverling","United Package"
303,1996-11-22,Tourtiere,Meat/Poultry,"Ma Maison",28,"Blondel pere et fils","Margaret Peacock","Federal Shipping"
134,1996-09-04,"Mozzarella di Giovanni","Dairy Products","Formaggi Fortini s.r.l.",20,"Blondel pere et fils","Steven Buchanan","United Package"
300,1996-11-22,"Thuringer Rostbratwurst",Meat/Poultry,"Plutzer Lebensmittelgrossmarkte AG",35,"Blondel pere et fils","Margaret Peacock","Federal Shipping"
299,1996-11-22,"Rossle Sauerkraut",Produce,"Plutzer Lebensmittelgrossmarkte AG",30,"Blondel pere et fils","Margaret Peacock","Federal Shipping"
302,1996-11-22,Maxilaku,Confections,"Karkki Oy",35,"Blondel pere et fils","Margaret Peacock","Federal Shipping"
497,1997-02-05,Spegesild,Seafood,Lyngbysild,5,"Blondel pere et fils","Janet Leverling","United Package"
209,1996-10-10,"Rhonbrau Klosterbier",Beverages,"Plutzer Lebensmittelgrossmarkte AG",50,"Bolido Comidas preparadas","Margaret Peacock","United Package"
208,1996-10-10,"Ravioli Angelo",Grains/Cereals,"Pasta Buttini s.r.l.",16,"Bolido Comidas preparadas","Margaret Peacock","United Package"
207,1996-10-10,"Chef Antons Cajun Seasoning",Condiments,"New Orleans Cajun Delights",24,"Bolido Comidas preparadas","Margaret Peacock","United Package"
307,1996-11-25,"Manjimup Dried Apples",Produce,"Gday, Mate",20,"Bon app","Janet Leverling","Speedy Express"
